,citax_2020,Net_accounting_profit_2020,citax_ref_2020,Net_accounting_profit_ref_2020,citax_ref_2021,Net_accounting_profit_ref_2021,citax_ref_2022,Net_accounting_profit_ref_2022,citax_ref_2023,Net_accounting_profit_ref_2023,citax_ref_2024,Net_accounting_profit_ref_2024,citax_ref_2025,Net_accounting_profit_ref_2025,ETR,ETR_ref
74,"5,026,080.4419","12,318,491.8205","5,026,080.4419","12,318,491.8205","5,026,080.4419","12,318,491.8205","6,486,538.3844","12,318,491.8205","6,486,538.3844","12,318,491.8205","6,486,538.3844","12,318,491.8205","6,486,538.3844","12,318,491.8205",0.4080,0.4080
75,"4,923,531.8754","13,892,999.1500","4,923,531.8754","13,892,999.1500","4,923,531.8754","13,892,999.1500","6,290,619.4388","13,892,999.1500","6,290,619.4388","13,892,999.1500","6,290,619.4388","13,892,999.1500","6,290,619.4388","13,892,999.1500",0.3544,0.3544
76,"3,648,260.8003","15,746,346.2564","3,648,260.8003","15,746,346.2564","3,648,260.8003","15,746,346.2564","4,864,347.7337","15,746,346.2564","4,864,347.7337","15,746,346.2564","4,864,347.7337","15,746,346.2564","4,864,347.7337","15,746,346.2564",0.2317,0.2317
77,"8,981,908.4508","17,730,958.0750","8,981,908.4508","17,730,958.0750","9,159,451.0751","17,730,958.0750","12,201,909.0827","17,730,958.0750","12,201,909.0827","17,730,958.0750","12,201,909.0827","17,730,958.0750","12,201,909.0827","17,730,958.0750",0.5066,0.5066
78,"16,735,907.9324","19,984,268.2308","16,735,907.9324","19,984,268.2308","17,483,627.4866","19,984,268.2308","20,030,195.4209","19,984,268.2308","20,030,195.4209","19,984,268.2308","20,030,195.4209","19,984,268.2308","20,030,195.4209","19,984,268.2308",0.8375,0.8375
79,"10,563,688.6038","21,979,566.3846","10,563,688.6038","21,979,566.3846","10,673,353.1106","21,979,566.3846","14,112,343.0652","21,979,566.3846","14,112,343.0652","21,979,566.3846","14,112,343.0652","21,979,566.3846","14,112,343.0652","21,979,566.3846",0.4806,0.4806
80,"5,973,338.0718","23,994,862.0750","5,973,338.0718","23,994,862.0750","6,079,213.6781","23,994,862.0750","7,736,762.6909","23,994,862.0750","7,736,762.6909","23,994,862.0750","7,736,762.6909","23,994,862.0750","7,736,762.6909","23,994,862.0750",0.2489,0.2489
81,"9,504,716.8057","26,642,277.2564","9,504,716.8057","26,642,277.2564","9,543,444.9307","26,642,277.2564","12,419,226.7999","26,642,277.2564","12,419,226.7999","26,642,277.2564","12,419,226.7999","26,642,277.2564","12,419,226.7999","26,642,277.2564",0.3568,0.3568
82,"17,038,037.8098","30,291,146.0750","17,038,037.8098","30,291,146.0750","17,038,037.8098","30,291,146.0750","22,148,411.0582","30,291,146.0750","22,148,411.0582","30,291,146.0750","22,148,411.0582","30,291,146.0750","22,148,411.0582","30,291,146.0750",0.5625,0.5625
83,"15,082,216.8787","33,771,755.7692","15,082,216.8787","33,771,755.7692","15,207,360.2160","33,771,755.7692","20,276,480.2880","33,771,755.7692","20,276,480.2880","33,771,755.7692","20,276,480.2880","33,771,755.7692","20,276,480.2880","33,771,755.7692",0.4466,0.4466
