Taxpayer_ID1,Taxpayer_ID,Year,Tax due,Sector,Sector_Code,Revenues,Other_revenues,Expenses,Net_accounting_profit,Donations_NGO,Donations_Others,Other_additions,Total_additions_to_GP,Total_taxable_profit,Tax_depreciation,Other_deductions,Net_taxable_profit,Donations_allowed,Carried_forward_losses,Tax_base,Exemptions,Investment_incentive,Net_tax_base,Exchange_rate,Net_tax_base_Egyp_Pounds,Donations_Govt,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1,Op_WDV_Bld,Add_Bld,Excl_Bld,Clg_WDV_Bld,Dep_Bld,Op_WDV_Intang,Add_Intang,Excl_Intang,Clg_WDV_Intang,Dep_Intang,Op_WDV_Mach,Add_Mach,Excl_Mach,Clg_WDV_Mach,Dep_Mach,Op_WDV_Others,Add_Others,Excl_Others,Clg_WDV_Others,Dep_Others,Op_WDV_Comp,Add_Comp,Excl_Comp,Clg_WDV_Comp,Dep_Comp
2000000854.00,2000000854.00,2020,13781923,Gen Business,3,1009646534,126328610,825376530,310598614,0,0,26791486,26791486,337390100,12187611,185758978,139443511,0,0,139443511,78190518,0,61252993,1,61252993,346563,0,0,0,0,0,0,0,0,18165091.5,1258284.09,0,0,0,0,0,0,0,0,0,0,0,0,0,39105514.17,3614684.23,612849.67,0,0,2029936.82,1501738.85,210127.91,0,0
2000000855.00,2000000855.00,2020,0,Gen Business,3,841160,0,1255816,-414656,0,0,118770,118770,-295886,17812,0,-313698,0,180568,-494266,0,0,-494266,1,-494266,0,0,0,0,0,0,0,0,180568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71248,0,0,0,0,0,0,0,0,0
2000000857.00,2000000857.00,2020,11111,Gen Business,3,505753,0,461419,44335,0,0,12872,12872,57207,7824,0,49383,0,0,49383,0,0,49383,1,49383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10432,0,2608,0,0,0,0,0,0,0
2000000858.00,2000000858.00,2020,16440,Gen Business,3,1643875,0,1570810,73065,0,0,0,0,73065,0,0,73065,0,0,73065,0,0,73065,1,73065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000859.00,2000000859.00,2020,3685373,Gen Business,3,629618333,14222916,630016848,13824401,715568,0,6917857,7633425,21457826,2109763,0,19348063,715568,0,18632495,2253059,0,16379436,1,16379436,0,0,0,0,0,0,0,0,0,19892104,0,0,0,0,0,0,0,0,0,315782,0,0,0,0,3810992,150195,0,0,0,61369,30463,0,0,0
2000000862.00,2000000862.00,2020,966799322,Gen Business,3,31010686838,1114617784,27525985499,4599319123,10016872,0,2566703569,2576720441,7176039564,649778343,1629213001,4897048220,0,0,4897048220,600162347,0,4296885873,1,4296885873,2000000,0,0,0,0,0,0,0,0,785471885,4065369,0,0,0,0,0,0,0,0,17524324,4953594.1,0,0,0,1739727273,621483624,9198812,0,0,9791428,20097603,608865,0,0
2000000863.00,2000000863.00,2020,0,Gen Business,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000864.00,2000000864.00,2020,108385930,Gen Business,3,274160902,10751724,267918974,16993652,317460,0,101613740,101931200,118924852,79403715,7173598,32347540,317460,0,32030080,1551611,0,30478469,16.1061,481715242,0,0,0,0,0,0,0,0,0,13649162,0,0,0,0,0,0,0,0,0,259737296,42059360,173600,0,0,9944625,2507641,1178330,0,0,561429,434054,1466,0,0
2000000865.00,2000000865.00,2020,0,Gen Business,3,8621778,2414746,21937408,-10900884,0,0,11396811,11396811,495927,157586,12363334,-12024993,0,0,-12024993,0,0,-12024993,1,-12024993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552749,52890,0,0,0,6176,0,0,0,0
2000000867.00,2000000867.00,2020,82808,Gen Business,3,8278158,0,7881690,396468,0,0,30275,30275,426743,58708,0,368035,0,0,368035,0,0,368035,1,368035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234832,0,0,0,0,0,0,0,0,0
2000000868.00,2000000868.00,2020,0,Gen Business,3,9721662,63246,9607952,176956,0,0,582828,582828,759784,797526,0,-37742,0,2808970,-2846712,0,0,-2846712,1,-2846712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000872.00,2000000872.00,2020,0,Gen Business,3,636580,0,860748,-224168,0,0,5027,5027,-219141,5027,0,-224169,0,0,-224169,0,0,-224169,1,-224169,0,0,0,0,0,0,0,0,35305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,3152.42,0,0,0,0
2000000875.00,2000000875.00,2020,0,Gen Business,3,25105896,464469,27311940,-1741575,0,0,422006,422006,-1319569,1058826,0,-2378395,0,15000980,-17379375,0,0,-17379375,1,-17379375,0,0,0,0,1691627,276914,2503019,6919311,4163937,593184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285592,438577,0,0,0,6275,20050,0,0,0
2000000877.00,2000000877.00,2020,140074648,Gen Business,3,10684502227,192122922,10340157722,536467427,0,0,360202815,360202815,896670242,140271928,133844321,622553993,0,0,622553993,0,0,622553993,1,622553993,0,0,0,0,0,0,0,0,0,85893798,0,0,0,0,0,0,0,0,0,160925325,55552423,858575,0,0,211285073,105251995,5166716,0,0,4409726,4049988,0,0,0
2000000878.00,2000000878.00,2020,7036081,Gen Business,3,495356028,19022803,489429677,24949154,0,0,21252799,21252799,46201953,5541988,9388496,31271469,0,0,31271469,0,0,31271469,1,31271469,0,0,0,0,0,0,0,0,0,29695828,240000,0,0,0,0,0,0,0,0,7258906,1023416.8,0,0,0,4373419,736486,0,0,0,292168,234898,0,0,0
2000000879.00,2000000879.00,2020,55574145,Gen Business,3,2925944825,17851394,2770718713,173077506,52942,0,102401628,102454570,275532076,13146289,15336644,247049143,52942,0,246996201,0,0,246996201,1,246996201,0,0,0,0,0,0,0,0,0,28557514,7179098,0,0,0,0,0,0,0,0,16255806,3076522.4,0,0,0,13309666,5795401,0,0,0,200245,662954,0,0,0
2000000880.00,2000000880.00,2020,6493288,Gen Business,3,524029247,1429376,499513213,25945410,0,0,17944676,17944676,43890086,15031030,0,28859056,0,0,28859056,0,0,28859056,1,28859056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000882.00,2000000882.00,2020,0,Gen Business,3,9926901,0,14083323,-4156422,0,0,1637584,1637584,-2518838,2356219,0,-4875057,0,2143958,-7019015,0,0,-7019015,1,-7019015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000883.00,2000000883.00,2020,0,Gen Business,3,648457,0,798995,-150538,0,0,0,0,-150538,0,0,-150538,0,0,-150538,0,0,-150538,1,-150538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000884.00,2000000884.00,2020,0,Gen Business,3,30594,152730,161670,21654,0,0,51892,51892,73546,38275,0,35271,0,353228,-317957,0,0,-317957,1,-317957,0,0,0,0,0,210451,142777,0,0,601757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8187,0,0,0,0,0,0,0,0,0
2000000886.00,2000000886.00,2020,177026,Gen Business,3,6772613,0,5985833,786780,0,0,0,0,786780,0,0,786780,0,0,786780,0,0,786780,1,786780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000887.00,2000000887.00,2020,274904,Gen Business,3,18986628,239447,18337362,888713,125000,0,356617,481617,1370330,26355,0,1343975,122180,0,1221796,0,0,1221796,1,1221796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105419,0,0,0,0,0,0,0,0,0
2000000888.00,2000000888.00,2020,0,Gen Business,3,2180172,0,2156330,23842,0,0,0,0,23842,0,0,23842,0,40159,-16317,0,0,-16317,1,-16317,0,0,0,0,0,0,0,0,40159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000889.00,2000000889.00,2020,0,Gen Business,3,2868931,56334,2854631,70634,0,0,7172,7172,77806,139982,0,-62176,0,144168,-206344,0,0,-206344,1,-206344,0,0,0,0,0,0,151188,39170,0,1182920,0,0,0,0,0,0,0,0,0,55960,0,0,0,0,43168,0,0,0,0,0,0,0,0,0
2000000890.00,2000000890.00,2020,0,Gen Business,3,17550923,0,17772408,-221485,0,0,43878,43878,-177607,0,0,-177607,0,0,-177607,0,0,-177607,1,-177607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000891.00,2000000891.00,2020,14809,Gen Business,3,5192580,0,5126762,65818,0,0,0,0,65818,0,0,65818,0,0,65818,0,0,65818,1,65818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000892.00,2000000892.00,2020,0,Gen Business,3,428480,0,589057,-160577,0,0,-39443,-39443,-200020,6106,0,-206126,0,35856,-241982,0,0,-241982,1,-241982,0,0,0,0,0,0,0,27300,8556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24421,0,0,0,0,0,1,0,0,0
2000000893.00,2000000893.00,2020,0,Gen Business,3,4651860,592312,5133250,110922,0,0,901163,901163,1012085,562833,592312,-143060,0,2018348,-2161408,0,0,-2161408,1,-2161408,0,0,0,0,0,0,0,0,2018348,2971763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249293,0,592312,0,0,0,0,0,0,0
2000000896.00,2000000896.00,2020,0,Gen Business,3,716354222,98400,694081962,22370660,1028500,0,38370639,39399139,61769799,47041588,0,14728211,0,15400517,-672306,0,0,-672306,1,-672306,0,0,0,0,0,0,0,15032154,368363,255749507,53509474,0,0,0,0,0,0,0,0,97982195,17156939,0,0,0,19340746,1128231,0,0,0,1607206,60439,0,0,0
2000000897.00,2000000897.00,2020,0,Gen Business,3,3345135,0,3237845,107290,0,0,359802,359802,467092,360958,0,106134,0,5776074,-5669940,0,0,-5669940,1,-5669940,0,0,0,0,0,0,0,0,5776074,3687336,0,0,0,0,0,0,0,0,0,681732,0,0,0,0,24636,0,0,0,0,0,0,0,0,0
2000000898.00,2000000898.00,2020,36614948,Gen Business,3,539484693,14713999,407345993,146852699,0,0,71383884,71383884,218236583,45656938,0,172579645,0,0,172579645,9846543,0,162733102,1,162733102,0,0,0,0,0,0,0,0,0,90315897,2064344,0,0,0,0,1891209,0,0,0,107633146,7249365.2,0,0,0,25779031,10008797,157193,0,0,222336,211393,0,0,0
2000000899.00,2000000899.00,2020,126364,Gen Business,3,24489130,0,23736924,752206,0,0,143906,143906,896112,334493,0,561619,0,0,561619,0,0,561619,1,561619,0,0,0,0,0,0,0,0,0,142027.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718978,590200,0,0,0,0,0,0,0,0
2000000900.00,2000000900.00,2020,22476074,Gen Business,3,2288139085,19408893,2220310869,87237109,5000,0,64525483,64530483,151767592,22230723,14031491,115505378,5000,15606716,99893662,0,0,99893662,1,99893662,0,0,0,0,12280691,16056066,0,0,0,23177963,128820,0,0,0,0,0,0,0,0,19398191,2875229,431699,0,0,29372099,25444573,14378,0,0,961417,391637,0,0,0
2000000902.00,2000000902.00,2020,0,Gen Business,3,27058025,2076800,29003936,130889,0,0,787754,787754,918643,3758511,0,-2839868,0,1709366,-4549234,0,0,-4549234,1,-4549234,0,0,0,0,0,0,0,1728595,19229,1224125,0,0,0,0,0,0,0,0,0,0,13224950,0,0,0,1372134,192135,0,0,0,0,0,0,0,0
2000000906.00,2000000906.00,2020,993577,Gen Business,3,165755192,78435,163189486,2644141,385000,0,3714554,4099554,6743695,2327797,0,4415898,0,0,4415898,0,0,4415898,1,4415898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134814,7176374,0,0,0,0,0,0,0,0
2000000908.00,2000000908.00,2020,21995131,Gen Business,3,720006654,9260174,691108554,38158274,0,0,82009594,82009594,120167868,14609180,7761752,97796936,0,40798,97756138,0,0,97756138,1,97756138,0,0,0,0,0,0,0,0,40798,6608000,0,0,0,0,0,503500,0,0,0,36833612,358378.3,0,0,0,16040020,1857117,113324,0,0,578998,107952,0,0,0
2000000911.00,2000000911.00,2020,0,Gen Business,3,399238212,24149181,644210899,-220823506,0,0,83507550,83507550,-137315956,298325,58778939,-196393220,0,58562188,-254955408,0,0,-254955408,1,-254955408,0,0,0,0,0,0,0,0,58562188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193298,0,0,0,0,0,0,0,0,0
2000000912.00,2000000912.00,2020,6377939,Gen Business,3,260421682,10443616,250180922,20684376,0,0,9274444,9274444,29958820,596032,819638,28543150,0,0,28543150,196756,0,28346394,1,28346394,0,0,0,0,0,0,0,0,0,323667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572388,1871433,392000,0,0,37401,96387,0,0,0
2000000915.00,2000000915.00,2020,0,Gen Business,3,18680740,96975,18990115,-212400,0,0,220212,220212,7812,209806,0,-201994,0,0,-201994,0,0,-201994,1,-201994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839224,0,0,0,0,0,0,0,0,0
2000000916.00,2000000916.00,2020,0,Gen Business,3,60088566,3195437,84510275,-21226272,0,0,980134,980134,-20246138,2401409,55196,-22702743,0,4142820,-26845563,0,0,-26845563,1,-26845563,0,0,0,0,0,2346026,0,4033960,0,846574,0,0,0,0,0,0,0,0,0,1315889,381493,813888,0,0,8392188,294983,405282,0,0,103454,35515,3500,0,0
2000000917.00,2000000917.00,2020,63844,Gen Business,3,21297435,0,21079847,217588,30300,0,224862,255162,472750,160624,0,312126,28375,0,283751,0,0,283751,1,283751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381597,260900,0,0,0,0,0,0,0,0
2000000918.00,2000000918.00,2020,0,Gen Business,3,277317,41514,359672,-40841,0,0,11521,11521,-29320,25282,0,-54602,0,0,-54602,0,0,-54602,1,-54602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000919.00,2000000919.00,2020,27093,Gen Business,3,2936927,60371,2894393,102905,0,0,41611,41611,144516,24105,0,120412,0,0,120412,0,0,120412,1,120412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7185,0,0,0,0,33839,0,0,0
2000000920.00,2000000920.00,2020,0,Gen Business,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000921.00,2000000921.00,2020,0,Gen Business,3,2372855,8028,2870937,-490054,0,0,472526,472526,-17528,685484,8028,-711040,0,1472336,-2183376,0,0,-2183376,1,-2183376,0,0,0,0,83190,116290,176848,664826,431182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517567,331300,106932,0,0,0,0,0,0,0
2000000922.00,2000000922.00,2020,0,Gen Business,3,36822922,289729,66049212,-28936561,0,0,91590,91590,-28844971,33145,8232,-28886348,0,95404719,-124291067,0,0,-124291067,1,-124291067,0,0,0,0,0,0,0,95404719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97627,0,0,0,0,8738,0,0,0,0
